Identification,x,y,width,height,confidence,class_type
identification 127,955,796,43,50,0.7748672962188721,Car
identification 128,348,147,43,30,0.7721751928329468,Car
identification 129,1212,527,40,48,0.7676558494567871,Car
identification 130,745,852,46,44,0.767429530620575,Car
identification 131,840,857,43,39,0.7659341096878052,Car
identification 132,647,29,43,41,0.7646941542625427,Car
identification 133,1129,159,40,43,0.7644105553627014,Car
identification 134,797,273,46,41,0.7643530368804932,Car
identification 135,1163,40,40,69,0.7635821104049683,Car
identification 136,311,-1,37,19,0.7591460943222046,Car
identification 137,743,0,40,26,0.7584264278411865,Car
identification 138,80,175,46,39,0.7576574683189392,Car
identification 139,1347,866,46,30,0.7544286847114563,Car
identification 140,754,403,43,48,0.7534646987915039,Car
identification 141,595,144,43,41,0.7498117685317993,Car
identification 142,1022,241,40,39,0.7465395927429199,Car
identification 143,227,674,46,52,0.7447007894515991,Car
identification 144,708,66,43,32,0.742585301399231,Car
identification 145,1305,574,37,46,0.7393060922622681,Car
identification 146,63,125,46,43,0.7244590520858765,Car
identification 147,1356,808,48,57,0.7168723344802856,Car
identification 148,268,0,37,30,0.7149047255516052,Car
identification 149,1129,509,37,55,0.7147701978683472,Car
identification 150,0,285,20,48,0.6980332136154175,Car
identification 151,130,173,48,37,0.6893458366394043,Car
identification 152,763,148,40,39,0.6824764013290405,Car
identification 153,1204,201,40,37,0.6775669455528259,Car
identification 154,486,880,46,16,0.6688411235809326,Car
identification 155,1157,221,40,44,0.6684232354164124,Car
identification 156,959,59,37,35,0.6647921800613403,Car
identification 157,1322,262,40,44,0.660364031791687,Car
identification 158,472,226,46,48,0.6566601991653442,Car
identification 159,74,-1,43,19,0.6485198140144348,Car
identification 160,489,402,43,44,0.6313366293907166,Car
identification 161,285,876,51,21,0.6163527965545654,Car
identification 162,284,108,43,43,0.6015898585319519,Car
identification 163,1098,288,37,32,0.5800670385360718,Car
identification 164,1209,771,40,52,0.577085554599762,Car
identification 165,227,74,40,37,0.5555548667907715,Car
