A - Cars,A - Houses,A - Trees,B - Cars,B - Houses,B - Trees,C - Cars,C - Houses,C - Trees,A Reputation,B Reputation,C Reputation;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0;;;;;;;;;;;;;;0,1,0,0,0,0,0,0,7,25.0,25.0,75.0;;;
0,0,0,0,0,0,0,0,7,0.0,0.0,25.0;;;;;;;;;;;;;;0,1,0,0,0,0,0,0,7,25.0,75.0,25.0;;;
0,0,0,0,0,0,0,0,7,0.0,0.0,50.0;;;;;;;;;;;;;;0,1,0,0,0,0,0,0,7,75.0,25.0,25.0;;;
0,0,0,0,0,0,0,0,7,0.0,0.0,75.0;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,7,0.0,0.0,100;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,0,0.0,25.0,0.0;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,7,0.0,25.0,25.0;;;;;;;;;;;;;;;Cars;Houses;Trees
0,0,0,0,0,0,0,0,7,0.0,25.0,50.0;;;;;;;;;;;;;;A (25%);0;1;0
0,0,0,0,0,0,0,0,7,0.0,25.0,75.0;;;;;;;;;;;;;;B (25%);0;0;0
0,0,0,0,0,0,0,0,7,0.0,25.0,100;;;;;;;;;;;;;;C (75%);0;0;7
0,0,0,0,0,0,0,0,0,0.0,50.0,0.0;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,7,0.0,50.0,25.0;;;;;;;;;;;;;;A (25%);0;1;0
0,0,0,0,0,0,0,0,7,0.0,50.0,50.0;;;;;;;;;;;;;;B (75%);0;0;0
0,0,0,0,0,0,0,0,7,0.0,50.0,75.0;;;;;;;;;;;;;;C (25%);0;0;7
0,0,0,0,0,0,0,0,7,0.0,50.0,100;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,0,0.0,75.0,0.0;;;;;;;;;;;;;;A (75%);0;1;0
0,0,0,0,0,0,0,0,7,0.0,75.0,25.0;;;;;;;;;;;;;;B (25%);0;0;0
0,0,0,0,0,0,0,0,7,0.0,75.0,50.0;;;;;;;;;;;;;;C (25%);0;0;7
